internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
39375,Carcharhinus melanopterus,"Squalus  commersonii	 Blainville, 1816",Squalus ,commersonii	,"Blainville, 1816	",,
39375,Carcharhinus melanopterus,"Carcharias  commersoni (Blainville, 1816)",Carcharias ,commersoni,"(Blainville, 1816)	",,
39375,Carcharhinus melanopterus,"Squalus  ustus Duméril, 1824",Squalus ,ustus,"Duméril, 1824",,
39375,Carcharhinus melanopterus,"Carcharias  playfairii Günther, 1870",Carcharias ,playfairii,"Günther, 1870",,
39375,Carcharhinus melanopterus,"Hypoprion  playfairii (Günther, 1870)",Hypoprion ,playfairii,"(Günther, 1870)",,
39375,Carcharhinus melanopterus,"Carcharias  elegans Ehrenberg, 1871",Carcharias ,elegans,"Ehrenberg, 1871	",,
39375,Carcharhinus melanopterus,"Carcharias  marianensis	 Engelhardt, 1912",Carcharias ,marianensis	,"Engelhardt, 1912",,
198921,Mobula birostris,"Manta hamiltoni Hamilton & Newman, 1849)",Manta,hamiltoni,"Hamilton & Newman, 1849)",,
198921,Mobula birostris,"Manta birostris (Walbaum, 1792)",Manta,birostris,"(Walbaum, 1792)",,
198921,Mobula birostris,"Raja birostris Donndorff, 1798",Raja,birostris,"Donndorff, 1798",,
60152,Hypanus dipterurus,"Dasyatis brevis (Garman, 1880)",Dasyatis,brevis,"(Garman, 1880)",,
60152,Hypanus dipterurus,"Dasyatis hawaiiensis Jenkins, 1903",Dasyatis,hawaiiensis,"Jenkins, 1903",,
60152,Hypanus dipterurus,"Dasyatis dipterura (Jordan &amp; Gilbert, 1880)",Dasyatis,dipterura,"(Jordan &amp; Gilbert, 1880)",,
60152,Hypanus dipterurus,"Dasybatis dipterurus Jordan & Gilbert, 1880",Dasybatis,dipterurus,"Jordan & Gilbert, 1880",,
44514,Centroscyllium nigrum,"Centroscyllium ruscosum Gilbert, 1905",Centroscyllium,ruscosum,"Gilbert, 1905",,
55455,Hyloscirtus colymba,"Hyla alvaradoi Taylor, 1952",Hyla,alvaradoi,"Taylor, 1952",,
55455,Hyloscirtus colymba,"Boana  colymba (Dunn, 1931)",Boana ,colymba,"(Dunn, 1931)",,
55455,Hyloscirtus colymba,"Hyla  colymba  Dunn, 1931",Hyla ,colymba ,"Dunn, 1931",,
56799,Craugastor obesus,"Eleutherodactylus obesus (Barbour, 1928)",Eleutherodactylus,obesus,"(Barbour, 1928)",,
56799,Craugastor obesus,"Syrrhopus obesus Barbour, 1928",Syrrhopus,obesus,"Barbour, 1928",,
181244884,Hypanus americanus,"Dasyatis americana Hildebrand & Schroeder, 1928",Dasyatis,americana,"Hildebrand & Schroeder, 1928",,
44592,Hypanus guttatus,"Dasyatis guttata (Bloch &amp; Schneider, 1801)",Dasyatis,guttata,"(Bloch &amp; Schneider, 1801)",,
44592,Hypanus guttatus,"Raja guttata Bloch & Schneider, 1801",Raja,guttata,"Bloch & Schneider, 1801",,
105209514,Craugastor stejnegerianus,"Eleutherodactylus stejnegerianus (Cope, 1893)",Eleutherodactylus,stejnegerianus,"(Cope, 1893)",,
105209514,Craugastor stejnegerianus,"Microbatrachylus stejnegerianus (Cope, 1893)",Microbatrachylus,stejnegerianus,"(Cope, 1893)",,
105209514,Craugastor stejnegerianus,"Hylodes stejnegerianus Cope, 1893",Hylodes,stejnegerianus,"Cope, 1893",,
39387,Sphyrna tiburo,"Squalus tiburo Linnaeus, 1758",Squalus,tiburo,"Linnaeus, 1758",,
41745,Centrophorus uyato,"Squalus uyato Rafinesque, 1810",Squalus,uyato,"Rafinesque, 1810",,
44584,Pseudobatos planiceps,"Rhinobatos planiceps Garman, 1880",Rhinobatos,planiceps,"Garman, 1880",,
44647,Urotrygon chilensis,"Urolophus chilensis Günther, 1872",Urolophus,chilensis,"Günther, 1872",,
44647,Urotrygon chilensis,"Urolophus goodei Jordan & Bollman, 1890",Urolophus,goodei,"Jordan & Bollman, 1890",,
60109,Urobatis jamaicensis,"Urolophus jamaicensis (Cuvier, 1816)",Urolophus,jamaicensis,"(Cuvier, 1816)",,
60137,Tetronarce tremens,"Torpedo peruana Chirichigno, 1963",Torpedo,peruana,"Chirichigno, 1963",,
60137,Tetronarce tremens,"Torpedo tremens de Buen, 1959",Torpedo,tremens,"de Buen, 1959",,
60157,Hypanus longus,"Dasyatis longus (Garman, 1880)",Dasyatis,longus,"(Garman, 1880)",,
