internalTaxonId,scientificName,name,language,main
150088916,Craugastor aenigmaticus,Montane Dirt Frog,English,true
151594796,Cruziohyla sylviae,Rana Arbórea de Sylvia,Spanish; Castilian,false
151594796,Cruziohyla sylviae,Sylvia's Tree Frog,English,true
22680816,Melanerpes pucherani,Black-cheeked Woodpecker,English,true
22690891,Leptotila cassinii,Gray-chested Dove,English,false
22690891,Leptotila cassinii,Grey-chested Dove,English,true
22690862,Leptotila plumbeiceps,Gray-headed Dove,English,false
22690862,Leptotila plumbeiceps,Grey-headed Dove,English,true
22684447,Morococcyx erythropygus,Lesser Ground Cuckoo,English,false
22684447,Morococcyx erythropygus,Lesser Ground-Cuckoo,English,false
22684447,Morococcyx erythropygus,Lesser Ground-cuckoo,English,true
22682980,Hylomanes momotula,Tody Motmot,English,true
22682292,Malacoptila panamensis,White-whiskered Puffbird,English,true
22684337,Coccyzus minor,Mangrove Cuckoo,English,true
152342874,Diasporus amirae,Amira's Dink Frog,English,true
152781715,Hexanchus vitulus,Atlantic Sixgill Shark,English,true
152781911,Squalus clarkae,Genie’s Dogfish,English,true
154032898,Craugastor zunigai,Zúñiga’s Dirt Frog,English,true
22689778,Antrostomus carolinensis,Chuck-will's-widow,English,true
22696916,Egretta rufescens,Reddish Egret,English,true
154107179,Nototriton costaricense,Southern Moss Salamander,English,true
22708670,Hylocichla mustelina,Wood Thrush,English,true
55492,Isthmohyla graceae,Continental Divide Treefrog,English,true
22694479,Xema sabini,Mouette de Sabine,French,false
22694479,Xema sabini,Sabine's Gull,English,true
55265,Phyllobates vittatus,Golfodulcean Poison-arrow Frog,English,false
55265,Phyllobates vittatus,Golfodulcean Poison Frog,English,true
55288,Agalychnis annae,Orange-eyed Tree Frog,English,false
55288,Agalychnis annae,Blue-sided Treefrog,English,true
22692192,Heliornis fulica,Sungrebe,English,true
22693594,Burhinus bistriatus,Double-striped Thick-knee,English,true
22690962,Geotrygon violacea,Violaceous Quail-Dove,English,false
22690962,Geotrygon violacea,Violaceous Quail-dove,English,true
22690908,Zentrygon costaricensis,Buff-fronted Quail-Dove,English,false
22690908,Zentrygon costaricensis,Buff-fronted Quail-dove,English,true
22728963,Zentrygon lawrencii,Purplish-backed Quail-Dove,English,false
22728963,Zentrygon lawrencii,Purplish-backed Quail-dove,English,true
22690936,Zentrygon chiriquensis,Chiriqui Quail-Dove,English,false
22690936,Zentrygon chiriquensis,Chiriquí Quail-Dove,English,false
22690936,Zentrygon chiriquensis,Rufous-breasted Quail-Dove,English,false
22690936,Zentrygon chiriquensis,Chiriqui Quail-dove,English,true
22689695,Lurocalis semitorquatus,Short-tailed Nighthawk,English,true
22689773,Nyctiphrynus ocellatus,Ocellated Poorwill,English,true
22689781,Antrostomus rufus,Rufous Nightjar,English,true
22689813,Antrostomus saturatus,Dusky Nightjar,English,true
22689823,Hydropsalis cayennensis,White-tailed Nightjar,English,true
22722724,Euphonia laniirostris,Thick-billed Euphonia,English,true
22722760,Euphonia minuta,White-vented Euphonia,English,true
22720398,Spinus xanthogastrus,Yellow-bellied Siskin,English,true
22696286,Micrastur mirandollei,Slaty-backed Forest Falcon,English,false
22696286,Micrastur mirandollei,Slaty-backed Forest-Falcon,English,false
22696286,Micrastur mirandollei,Slaty-backed Forest-falcon,English,true
22696229,Ibycter americanus,Red-throated Caracara,English,true
22696261,Milvago chimachima,Yellow-headed Caracara,English,true
22681939,Eubucco bourcierii,Red-headed Barbet,English,true
22682200,Galbula ruficauda,Rufous-tailed Jacamar,English,true
22682224,Jacamerops aureus,Great Jacamar,English,true
22683649,Chloroceryle amazona,Amazon Kingfisher,English,true
22683655,Chloroceryle inda,Green-and-rufous Kingfisher,English,true
22683658,Chloroceryle aenea,American Pygmy-kingfisher,English,true
22689636,Nyctibius grandis,Great Potoo,English,true
22689646,Nyctibius griseus,Common Potoo,English,true
22689642,Nyctibius jamaicensis,Common Potoo,English,false
22689642,Nyctibius jamaicensis,Northern Potoo,English,true
22693553,Jacana jacana,Wattled Jacana,English,true
22694075,Vanellus chilensis,Southern Lapwing,English,true
22691893,Eurypyga helias,Sunbittern,English,true
61634649,Momotus lessonii,Blue-diademed Motmot,English,true
22682995,Baryphthengus martii,Rufous Motmot,English,true
22682986,Electron platyrhynchum,Broad-billed Motmot,English,true
22682992,Eumomota superciliosa,Turquoise-browed Motmot,English,true
22697733,Fregata minor,Great Frigatebird,English,false
22697733,Fregata minor,Frégate du Pacifique,French,false
22697733,Fregata minor,Great Frigatebird,English,true
61418830,Piaya cayana,Squirrel Cuckoo,English,false
61418830,Piaya cayana,Common Squirrel-cuckoo,English,true
22684444,Tapera naevia,Striped Cuckoo,English,true
22684452,Dromococcyx phasianellus,Pheasant Cuckoo,English,true
22684431,Crotophaga major,Greater Ani,English,true
22694799,Anous minutus,Noddi noir,French,false
22694799,Anous minutus,Black Noddy,English,true
22690814,Paraclaravis mondetoura,Maroon-chested Ground Dove,English,false
22690814,Paraclaravis mondetoura,Maroon-chested Ground-Dove,English,false
22690814,Paraclaravis mondetoura,Maroon-chested Ground-dove,English,true
55033,Hyalinobatrachium talamancae,Talamanca Glass Frog,English,true
22721519,Arremon brunneinucha,Chestnut-capped Brush Finch,English,false
22721519,Arremon brunneinucha,Chestnut-capped Brush-Finch,English,false
22721519,Arremon brunneinucha,Chestnut-capped Brush-finch,English,true
22721401,Arremonops conirostris,Black-striped Sparrow,English,true
22733880,Notharchus hyperrhynchus,White-necked Puffbird,English,true
61998257,Notharchus subtectus,Lesser Pied Puffbird,English,true
22682298,Micromonacha lanceolata,Lanceolated Monklet,English,true
22682331,Monasa morphoeus,White-fronted Nunbird,English,true
22686464,Cypseloides cryptus,White-chinned Swift,English,true
22686424,Streptoprocne rutila,Chestnut-collared Swift,English,true
22686476,Streptoprocne zonaris,White-collared Swift,English,true
22686701,Chaetura cinereiventris,Gray-rumped Swift,English,false
22686701,Chaetura cinereiventris,Grey-rumped Swift,English,true
22686759,Panyptila cayennensis,Lesser Swallow-tailed Swift,English,true
22686756,Panyptila sanctihieronymi,Great Swallow-tailed Swift,English,true
22703089,Dendrocolaptes picumnus,Black-banded Woodcreeper,English,true
22702998,Xenops rutilus,Streaked Xenops,English,true
22702858,Philydor rufum,Buff-fronted Foliage-gleaner,English,true
22702910,Automolus ochrolaemus,Buff-throated Foliage-gleaner,English,true
22687562,Amazilia boucardi,Amazilia de Manglar,Spanish; Castilian,false
22687562,Amazilia boucardi,Mangrove Hummingbird,English,true
22680774,Picumnus olivaceus,Olivaceous Piculet,English,true
22733729,Melanerpes chrysauchen,Golden-naped Woodpecker,English,true
22680850,Melanerpes rubricapillus,Red-crowned Woodpecker,English,true
22680865,Melanerpes hoffmannii,Hoffmann's Woodpecker,English,true
22694967,Leptodon cayanensis,Gray-headed Kite,English,false
22694967,Leptodon cayanensis,Grey-headed Kite,English,true
22696193,Spizaetus tyrannus,Black Hawk-Eagle,English,false
22696193,Spizaetus tyrannus,Black Hawk-eagle,English,true
22696120,Spizaetus melanoleucus,Black-and-white Hawk-Eagle,English,false
22696120,Spizaetus melanoleucus,Black-and-White Hawk-Eagle,English,false
22696120,Spizaetus melanoleucus,Aguila-azor Blanquinegra,Spanish; Castilian,false
22696120,Spizaetus melanoleucus,Aguila-azor Chica,Spanish; Castilian,false
22696120,Spizaetus melanoleucus,Aguila Blanquinegra,Spanish; Castilian,false
22696120,Spizaetus melanoleucus,Black-and-white Hawk-eagle,English,true
22695060,Harpagus bidentatus,Double-toothed Kite,English,true
22695565,Accipiter superciliosus,Tiny Hawk,English,true
22695669,Accipiter bicolor,Bicolored Hawk,English,true
22695069,Ictinia plumbea,Plumbeous Kite,English,true
22695842,Busarellus nigricollis,Black-collared Hawk,English,true
22695729,Geranospiza caerulescens,Crane Hawk,English,true
22695832,Buteogallus meridionalis,Savanna Hawk,English,true
22695827,Buteogallus urubitinga,Great Black Hawk,English,false
22695827,Buteogallus urubitinga,Great Black-Hawk,English,false
